i,x,typ
0,0.93022,1
0,0.052688,2
1,0.682097,1
1,0.257177,2
1,0.0293266,-1
2,0.545536,1
2,0.00235707,2
2,0.0491292,-1
2,0.095249,2
2,0.00815986,2
2,0.00923342,2
2,0.00120529,2
2,0.00258525,2
2,0.00680028,-1
2,0.0612995,2
2,0.00561337,2
2,0.00189706,2
2,0.00260436,2
2,0.00448646,2
2,0.00555371,2
2,0.00719725,2
2,0.0049228,2
2,0.00137434,2
2,0.00125087,2
2,0.00142645,-1
2,0.00109511,2
2,0.0025544,2
2,0.00102026,2
3,0.619972,1
3,0.00579206,2
3,0.174608,2
3,0.0481533,2
3,0.00207118,2
3,0.037129,2
3,0.0114982,2
3,0.0064388,2
3,0.00412485,2
3,0.00289115,2
3,0.00150088,2
3,0.0013637,2
3,0.00104598,2
3,0.00107888,2
3,0.00218283,1
3,0.00141588,2
4,0.827008,1
4,0.136486,2
4,0.00121223,2
4,0.00316009,2
4,0.0013856,2
4,0.00449748,2
5,0.515648,2
5,0.438761,1
5,0.00544794,2
5,0.00280675,-1
6,0.734198,1
6,0.0483736,2
6,0.0142465,2
6,0.0266855,-1
6,0.0224141,1
6,0.00264585,2
6,0.00564251,2
6,0.00181862,-1
7,0.417201,1
7,0.405702,2
7,0.0787927,2
7,0.00407238,2
7,0.00853563,2
7,0.00116095,1
7,0.00434349,2
7,0.00188667,2
7,0.0014754,2
8,0.846304,1
8,0.0553886,2
8,0.0177032,2
8,0.00857584,2
8,0.00312521,2
8,0.00170432,2
8,0.00132142,2
8,0.0012099,2
9,0.954916,1
9,0.00701021,-1
9,0.0010947,2
10,0.906347,1
10,0.00379049,-1
10,0.00144216,-1
10,0.00164412,2
10,0.00469728,2
10,0.00131171,2
11,0.845948,1
11,0.0349489,2
11,0.00105149,2
11,0.00273706,1
11,0.0175339,2
11,0.0013247,2
11,0.00109591,2
12,0.972946,1
12,0.00824697,1
12,0.00132163,2
13,0.593666,1
13,0.0899237,2
13,0.0220483,1
13,0.00257581,2
13,0.00271924,2
13,0.00206176,-1
13,0.00237598,2
13,0.0158107,2
13,0.0015833,2
13,0.00224916,2
13,0.0150102,2
13,0.00649362,2
13,0.00175212,-1
13,0.00150501,2
13,0.00260716,2
13,0.00531646,2
13,0.00126121,1
14,0.747256,1
14,0.0164768,-1
14,0.00347875,2
14,0.00480323,2
14,0.0274136,2
14,0.00120737,2
14,0.00631411,2
14,0.00268804,1
15,0.110955,1
15,0.682695,2
15,0.0187513,2
15,0.0232709,2
15,0.00206584,2
15,0.0307387,2
15,0.00167844,1
15,0.0011867,1
15,0.00277478,2
16,0.556355,1
16,0.180191,2
16,0.0402864,2
16,0.00159566,2
16,0.00127768,2
16,0.0346526,2
16,0.0204163,2
16,0.0011155,1
16,0.0087697,2
16,0.00200476,2
16,0.00111763,2
16,0.00881315,2
16,0.00138349,1
16,0.00228077,2
17,0.873059,1
17,0.00377811,2
17,0.00615362,2
17,0.0131403,2
17,0.00625564,2
17,0.00373748,2
17,0.00104469,-1
17,0.00244193,1
18,0.946119,1
18,0.00110024,-1
19,0.823966,1
19,0.0640414,1
19,0.00104341,1
19,0.0255831,2
19,0.0110047,2
19,0.00653435,2
19,0.00177537,2
20,0.956269,1
21,0.830854,1
21,0.0274092,-1
21,0.00923598,1
21,0.00924223,2
21,0.00951674,2
21,0.00163546,2
21,0.00343428,2
22,0.752337,1
22,0.150429,2
22,0.0154225,2
22,0.00233053,2
22,0.00330524,2
22,0.00371225,2
22,0.00246729,2
23,0.598706,1
23,0.256345,2
23,0.00406681,2
23,0.00355979,2
23,0.00259207,2
23,0.00226931,2
23,0.00416579,2
23,0.00267897,1
23,0.0283165,1
23,0.0110739,2
23,0.00111757,2
23,0.00220605,2
23,0.00190289,2
23,0.00202044,2
23,0.00138973,2
24,0.727946,1
24,0.129534,2
24,0.0131345,1
24,0.00877724,2
24,0.00121741,2
24,0.00257431,-1
24,0.00144769,2
25,0.9632,1
25,0.00870469,2
26,0.382968,1
26,0.558073,2
27,0.142274,1
27,0.792341,2
27,0.00432815,2
27,0.00103414,2
27,0.0026763,2
28,0.937871,1
28,0.0061123,2
28,0.00667587,2
28,0.010624,2
28,0.0022317,2
28,0.00152879,2
28,0.00157037,2
28,0.00141778,2
29,0.834775,1
29,0.00124617,2
29,0.0217455,2
29,0.00571691,2
30,0.949285,1
30,0.00103729,2
30,0.0045076,2
31,0.931253,1
31,0.0288161,2
32,0.350018,1
32,0.349932,2
32,0.0122399,2
32,0.0586994,1
32,0.0473089,2
32,0.00372158,-1
32,0.00283625,2
32,0.0221116,2
32,0.00138722,2
32,0.00610438,2
32,0.00195914,2
32,0.00201203,2
32,0.00152453,2
32,0.00253696,-1
32,0.00957758,2
32,0.00125536,2
32,0.00117124,2
32,0.00400353,2
32,0.00157278,1
32,0.00191981,2
33,0.965521,1
34,0.166872,2
34,0.433402,2
34,0.0743419,2
34,0.01979,2
34,0.0148263,2
34,0.0145821,1
34,0.00143909,-1
34,0.00769471,2
34,0.046155,2
34,0.0312709,2
34,0.0060169,2
34,0.00481576,2
34,0.011034,2
34,0.00145337,2
34,0.00114935,-1
34,0.00241541,2
34,0.0210648,2
34,0.00125339,2
34,0.00179265,2
35,0.741172,1
35,0.178262,2
35,0.0343154,2
36,0.917067,1
36,0.0140797,-1
36,0.00167662,2
37,0.896471,1
37,0.00103672,1
37,0.00111523,2
38,0.923269,1
38,0.010842,1
38,0.00971681,2
38,0.00106279,1
39,0.736966,1
39,0.127921,2
39,0.00846466,1
39,0.00247577,2
39,0.00168414,2
39,0.00566538,2
39,0.00136271,2
39,0.00431163,1
39,0.00126511,2
40,0.799974,1
40,0.0579022,2
40,0.0187913,2
40,0.00862396,2
40,0.00167755,1
40,0.00738095,1
40,0.00130007,-1
40,0.00154725,-1
40,0.00206603,2
40,0.00115603,2
41,0.912335,1
41,0.00161667,1
41,0.00209097,2
41,0.00109833,2
41,0.00259192,2
42,0.808193,1
42,0.0417323,2
42,0.0103846,-1
42,0.00473394,2
42,0.0048933,2
42,0.00369873,2
42,0.00260049,2
42,0.00655151,2
43,0.98726,1
44,0.927517,1
45,0.930776,1
45,0.0151431,2
45,0.00271799,2
46,0.574092,1
46,0.117781,2
46,0.152122,2
46,0.0370215,2
46,0.00106803,1
46,0.00192021,2
47,0.874725,1
47,0.0262024,2
47,0.00107253,2
47,0.00129562,2
47,0.00115303,-1
48,0.584504,1
48,0.0332663,-1
48,0.028469,1
48,0.0152173,1
48,0.0145475,2
48,0.00441491,2
48,0.00954371,2
48,0.00713113,2
48,0.00545808,2
48,0.00406641,-1
48,0.00112241,2
48,0.00149309,-1
48,0.00423894,2
48,0.00203982,2
48,0.00525041,2
48,0.00229463,2
48,0.0017159,2
48,0.00849029,2
48,0.00184029,2
48,0.0022078,2
49,0.884947,1
49,0.00153069,1
49,0.00113642,2
50,0.957758,1
50,0.00573374,2
50,0.00168851,2
51,0.965423,1
51,0.00148925,-1
52,0.904446,1
52,0.0062227,1
52,0.00982737,-1
52,0.0113893,2
52,0.00122806,-1
52,0.00213188,2
52,0.00107104,2
53,0.846264,1
53,0.0124886,2
53,0.00358042,-1
53,0.00366713,2
53,0.0045106,1
53,0.00459334,2
53,0.006887,2
53,0.00284603,2
53,0.00607643,2
53,0.00228775,2
53,0.00255748,2
53,0.00126886,2
53,0.00343076,2
53,0.00106188,-1
53,0.00162893,-1
53,0.00340228,2
53,0.00144001,2
54,0.829248,1
54,0.089989,2
54,0.00231998,2
54,0.00109606,2
54,0.0079051,-1
54,0.00293813,1
55,0.960375,1
56,0.824429,1
56,0.0360509,2
56,0.0245529,-1
56,0.00481635,1
56,0.00101903,-1
57,0.973945,1
58,0.775946,1
58,0.00267344,2
58,0.016618,2
58,0.0172133,-1
58,0.00251323,1
58,0.0105341,2
58,0.00412105,2
58,0.00127017,1
58,0.00142067,1
58,0.00379112,-1
58,0.0010008,2
58,0.00112139,2
58,0.00277329,2
58,0.0015162,-1
58,0.00302509,2
58,0.00100532,2
59,0.853205,1
59,0.0297974,2
59,0.00148398,2
59,0.00119067,2
59,0.0030542,2
59,0.0128907,2
59,0.0182323,2
59,0.00350543,2
59,0.00212573,2
59,0.00137619,2
59,0.00175597,1
60,0.190862,1
60,0.611688,2
60,0.00497804,2
60,0.00297148,2
60,0.00302928,2
60,0.018684,1
60,0.00947335,2
61,0.144967,1
61,0.752929,2
61,0.00515996,2
61,0.00178383,2
61,0.00924113,-1
61,0.00106443,1
62,0.617599,1
62,0.142435,2
62,0.00536999,2
62,0.0140925,2
62,0.00788193,2
62,0.0109058,2
62,0.00269528,2
62,0.00163025,2
62,0.00244745,-1
62,0.00484285,2
62,0.0011494,-1
62,0.00343457,2
63,0.957678,1
63,0.0096186,2
63,0.0138119,2
64,0.906717,1
64,0.0181777,2
64,0.00317526,2
64,0.0124201,2
64,0.00143316,2
65,0.90589,1
66,0.460801,1
66,0.471398,2
66,0.00574891,2
66,0.0116808,2
66,0.00192996,-1
67,0.871526,1
67,0.0154735,2
67,0.0199556,2
67,0.0102518,2
67,0.00117781,2
68,0.98776,1
69,0.763104,1
69,0.016449,2
69,0.147553,2
69,0.03022,2
70,0.792891,1
70,0.00753695,1
70,0.0391353,2
70,0.0166655,1
70,0.00396095,2
70,0.0149328,1
70,0.00192698,-1
70,0.00116827,1
70,0.00150441,-1
71,0.7203,1
71,0.107783,2
71,0.0570542,2
71,0.0217174,2
71,0.00659024,2
71,0.00288979,1
71,0.0204162,2
71,0.0100748,2
71,0.00109333,1
71,0.00168686,2
71,0.00193326,2
71,0.00152115,2
72,0.695142,1
72,0.00120574,2
72,0.0373244,2
72,0.00134546,2
72,0.00226892,2
72,0.0111974,2
72,0.00695103,2
72,0.0409511,2
72,0.00262535,2
72,0.0269675,2
72,0.00736723,2
72,0.00151184,2
72,0.00195471,2
72,0.00448894,1
72,0.00362598,1
73,0.968698,1
74,0.957655,1
74,0.00183634,2
75,0.956953,1
76,0.813857,1
76,0.0653135,2
76,0.0290314,2
76,0.00211314,2
76,0.00151249,2
76,0.00174413,2
76,0.00305469,-1
76,0.00156495,1
76,0.00107026,2
76,0.00158464,2
76,0.00161012,1
76,0.00184694,2
77,0.804215,1
77,0.0147362,2
77,0.0051739,2
77,0.0223685,2
77,0.00265033,2
77,0.0166612,2
77,0.0014008,2
78,0.782753,1
78,0.123173,2
78,0.00780327,2
78,0.00227819,-1
79,0.610382,1
79,0.00305199,2
79,0.0888183,2
79,0.107033,2
79,0.00212252,2
79,0.0112697,2
79,0.0188966,2
79,0.00123476,2
79,0.00396319,2
80,0.920093,1
80,0.0342408,2
80,0.00279282,2
81,0.951096,1
81,0.00177835,2
81,0.00745453,1
81,0.00164565,1
82,0.274383,2
82,0.059202,1
82,0.0839738,2
82,0.0115612,2
82,0.0695477,2
82,0.161779,2
82,0.00423224,2
82,0.0523556,2
82,0.0447931,2
82,0.0127693,2
82,0.00518694,2
82,0.00189771,2
82,0.00222091,-1
82,0.00186213,2
82,0.00109998,2
82,0.00120192,2
82,0.00202376,-1
83,0.507133,1
83,0.200582,2
83,0.00118653,2
83,0.00118708,-1
83,0.121449,2
83,0.0242253,2
83,0.0118719,2
83,0.00436496,2
83,0.00223319,2
83,0.00474465,2
83,0.00448604,2
83,0.00585348,2
83,0.00179079,2
83,0.00211462,2
83,0.00140373,2
83,0.00223252,1
84,0.0741798,2
84,0.851051,2
84,0.0253,1
84,0.00250446,2
84,0.00154329,2
84,0.00105239,2
85,0.889407,1
85,0.00106578,-1
85,0.00121118,-1
86,0.81547,2
86,0.0156879,1
86,0.0277424,2
86,0.00109731,2
86,0.0152512,2
86,0.0186875,2
86,0.00113027,2
86,0.00900323,1
86,0.00108491,1
86,0.00158071,2
86,0.00316019,2
86,0.0012706,2
87,0.896437,1
87,0.00692227,2
87,0.0219403,2
87,0.00978608,-1
87,0.00433098,2
87,0.00234794,1
