i,x,typ
0,0.880783,1
1,0.924896,1
2,0.382331,1
2,0.303986,1
2,0.0186845,2
2,0.0279015,2
2,0.0622938,-1
3,0.845314,1
3,0.0536577,2
4,0.481482,1
4,0.0147108,2
4,0.0170979,2
4,0.0170979,2
4,0.275728,2
4,0.0208007,2
4,0.0247134,2
4,0.0247134,2
5,0.596116,1
5,0.0349071,2
5,0.013177,2
5,0.0519195,2
5,0.0311338,2
5,0.0166692,2
5,0.0118421,2
6,0.611412,1
6,0.0858247,2
6,0.033916,2
6,0.0101142,2
6,0.0101142,2
6,0.0174511,2
6,0.0117968,2
7,0.392743,1
7,0.0233497,2
7,0.0798003,2
7,0.185751,2
7,0.0179384,2
8,0.945905,1
9,0.837839,1
10,0.54744,1
10,0.0225068,-1
10,0.0225068,2
10,0.014033,2
10,0.014033,2
11,0.482011,1
11,0.0178447,2
11,0.026876,2
11,0.0145024,2
12,0.239604,1
12,0.146526,2
12,0.0407408,2
12,0.0446924,2
13,0.830156,1
13,0.0200901,2
14,0.0510853,1
14,0.45536,2
14,0.0642828,2
14,0.0269521,2
14,0.0151518,2
14,0.0180708,2
14,0.0180708,2
14,0.0115639,2
14,0.0115639,2
14,0.0749351,2
15,0.0329139,1
15,0.0347883,1
15,0.025169,-1
15,0.0171839,2
15,0.0416704,2
15,0.018658,2
15,0.0574327,-1
15,0.012856,-1
15,0.0134481,1
15,0.0143954,-1
15,0.0550122,2
15,0.0113653,2
16,0.585033,1
16,0.0585017,-1
16,0.0334173,2
16,0.0167568,2
16,0.0167568,2
17,0.65231,1
17,0.0131315,2
17,0.0202937,2
17,0.0202937,2
18,0.786371,1
19,0.149494,1
19,0.123919,-1
19,0.141731,-1
20,0.136112,1
20,0.0227478,1
20,0.0148025,2
20,0.0250781,1
20,0.0200303,2
20,0.0154396,2
20,0.0571114,2
21,0.908041,1
21,0.0278169,2
22,0.255543,2
22,0.071318,2
22,0.0601905,2
22,0.0302497,1
22,0.017668,2
22,0.0444983,2
22,0.0246848,2
23,0.45909,1
23,0.21465,2
23,0.0160778,2
23,0.0110434,2
23,0.0233675,-1
24,0.392261,1
24,0.0361977,-1
24,0.0186562,2
24,0.0186562,2
25,0.960645,1
26,0.916817,1
27,0.6138,1
27,0.0313389,2
27,0.0238682,2
27,0.012794,2
27,0.0110742,2
27,0.0361241,2
27,0.0350955,2
27,0.0373294,2
28,0.876805,1
29,0.0323899,1
29,0.0109493,2
29,0.105302,2
29,0.148538,2
29,0.0535507,2
29,0.112479,2
29,0.0129916,2
29,0.0129916,2
29,0.0123886,1
30,0.499774,1
30,0.347721,2
31,0.936979,1
31,0.0104255,2
31,0.0104255,2
32,0.0161114,1
32,0.0168167,-1
32,0.0744243,2
32,0.0102147,2
32,0.0933056,2
32,0.013348,2
32,0.013348,2
32,0.0134555,2
32,0.0134104,2
33,0.804145,1
33,0.0305158,1
33,0.0332324,1
34,0.595049,1
34,0.271909,2
35,0.254375,-1
35,0.031428,2
35,0.306532,2
35,0.0266636,2
35,0.0326987,1
35,0.0686078,2
36,0.739713,1
36,0.0163893,2
36,0.0200198,2
36,0.0556308,2
36,0.0179909,-1
36,0.0179909,2
37,0.030361,2
37,0.343438,2
37,0.28234,2
37,0.0338883,1
37,0.0201255,2
37,0.0201255,2
38,0.98382,1
39,0.0807566,2
39,0.302586,1
39,0.0414924,2
39,0.0480596,2
39,0.0467173,2
39,0.0846083,2
39,0.0521426,2
39,0.0263042,2
39,0.0258384,2
39,0.0274042,2
39,0.0274042,2
40,0.0489496,1
40,0.180032,2
40,0.0495763,1
40,0.014143,2
40,0.0390684,2
40,0.0292674,2
41,0.501699,1
41,0.218066,2
42,0.836382,1
43,0.0289037,2
43,0.213798,1
43,0.225818,2
43,0.0395893,2
43,0.0338055,2
43,0.0212866,2
43,0.115425,2
44,0.855591,1
44,0.0148663,2
45,0.493177,1
45,0.0457144,2
45,0.0541313,2
45,0.0365797,2
45,0.0365797,2
46,0.884256,1
46,0.0141752,1
46,0.0134461,2
47,0.0281614,1
47,0.0281614,2
47,0.0109816,2
47,0.174748,2
47,0.235637,2
47,0.0127583,2
47,0.0127583,2
47,0.0167491,1
47,0.0164459,2
47,0.0164459,2
48,0.128228,1
48,0.66362,2
48,0.0356885,2
48,0.0354023,2
48,0.0147329,2
48,0.0147329,2
49,0.902584,1
50,0.213602,1
50,0.0241844,2
50,0.320153,2
50,0.0117853,2
50,0.0117853,2
50,0.0460565,2
50,0.0175372,2
51,0.492247,1
51,0.0526461,2
51,0.117775,1
51,0.023383,2
51,0.0212427,2
51,0.0212427,2
52,0.0305271,1
52,0.665644,2
52,0.071509,2
52,0.0172577,2
52,0.0201145,2
52,0.0111265,2
52,0.0111265,2
53,0.734039,1
53,0.0102985,2
53,0.0102985,2
54,0.303222,1
54,0.0272621,2
54,0.262392,-1
54,0.0164206,2
54,0.0536331,2
54,0.0438835,2
54,0.0153514,2
54,0.0153514,2
55,0.0764884,1
55,0.624748,2
56,0.822229,1
56,0.047758,2
57,0.0624492,1
57,0.44492,2
57,0.0214904,2
57,0.159684,2
57,0.0224669,1
57,0.0105561,2
58,0.748983,1
58,0.0101706,2
58,0.0101706,2
58,0.125708,2
59,0.128515,1
59,0.510573,2
59,0.0325464,1
60,0.57835,1
60,0.0104267,2
60,0.0104267,2
60,0.0126102,1
60,0.0126102,2
60,0.0125218,1
60,0.0125218,2
61,0.945217,1
62,0.527529,1
62,0.0292672,2
62,0.0400178,2
62,0.0121746,2
62,0.0121746,2
63,0.0131426,2
63,0.751264,1
63,0.0258863,2
63,0.0248851,2
63,0.0248851,2
64,0.0716167,2
64,0.124166,2
64,0.0264936,2
64,0.0264936,2
64,0.261432,2
64,0.0204284,2
64,0.0110221,2
64,0.057392,2
64,0.013278,2
64,0.0433066,2
65,0.199506,1
65,0.129184,2
65,0.234531,2
65,0.0108224,2
65,0.0108224,2
66,0.620519,1
66,0.0346722,-1
66,0.0114677,2
66,0.0280133,-1
67,0.207948,1
67,0.0113802,2
67,0.0368081,2
67,0.0164444,2
67,0.0305489,2
67,0.0240113,2
67,0.0240113,2
67,0.0103471,2
67,0.0103471,2
67,0.0227104,2
67,0.0150312,2
67,0.0137861,2
67,0.0137861,2
67,0.0106362,2
67,0.0106362,2
68,0.0384491,1
68,0.123843,2
68,0.226583,2
68,0.016462,2
68,0.0254827,2
68,0.0387149,2
68,0.021999,2
68,0.0153939,2
68,0.0153939,2
68,0.0296948,2
68,0.0135862,2
69,0.858917,1
69,0.0291857,2
69,0.0335204,2
70,0.713499,1
70,0.0103066,1
71,0.417185,1
71,0.238397,2
71,0.0118121,2
71,0.069043,-1
71,0.0119586,2
72,0.924946,1
73,0.848353,1
73,0.0289886,2
73,0.0250458,2
73,0.0300274,2
74,0.79612,1
74,0.0178726,2
74,0.0265013,2
75,0.65425,1
75,0.0215936,2
75,0.0215936,2
75,0.0138994,2
75,0.0138994,2
75,0.0632248,2
76,0.460166,1
76,0.106917,2
76,0.0274752,2
76,0.0205457,2
76,0.0560821,2
76,0.0353351,2
76,0.0140967,2
76,0.0140967,2
77,0.1096,1
77,0.251846,2
77,0.0372911,1
77,0.0466844,2
77,0.0395488,-1
77,0.0239741,1
78,0.516298,1
78,0.0188262,-1
78,0.0405076,2
78,0.0376733,2
78,0.0206204,2
79,0.785721,1
79,0.048776,-1
80,0.950901,1
81,0.273075,1
81,0.16185,2
81,0.0180737,1
81,0.0180737,2
81,0.0240866,-1
81,0.0240866,2
82,0.368737,2
82,0.0378771,2
82,0.124018,2
82,0.0195421,2
82,0.0214188,1
82,0.0214188,2
83,0.814697,1
83,0.0726943,2
84,0.0438124,1
84,0.0371075,2
84,0.0248875,2
84,0.0217336,2
84,0.010713,2
84,0.127244,2
84,0.071451,2
84,0.0449647,2
84,0.0214284,2
84,0.0214284,2
84,0.0112568,2
84,0.0112568,2
84,0.0178176,2
84,0.0266641,2
84,0.0150574,2
84,0.0150574,2
84,0.0116623,2
84,0.0116623,2
85,0.0149926,1
85,0.0149926,2
85,0.256158,2
85,0.0232734,2
85,0.0361516,2
85,0.115754,2
85,0.0111445,2
85,0.0381663,2
85,0.121311,-1
85,0.0132614,2
85,0.0152283,2
85,0.0152283,2
86,0.161859,1
86,0.147785,2
86,0.013883,2
86,0.013883,2
86,0.0572221,2
86,0.039662,2
86,0.0139096,2
86,0.0139096,2
86,0.0108888,1
86,0.0108888,2
86,0.01524,2
86,0.01524,2
86,0.0141973,-1
87,0.565844,2
87,0.0121492,2
87,0.0121492,2
87,0.0955977,2
87,0.0421726,2
87,0.0166932,2
87,0.0166932,2
88,0.686667,1
88,0.0784012,2
88,0.0432165,-1
88,0.0248552,2
88,0.0183612,2
89,0.685251,1
89,0.054998,2
89,0.0675103,1
89,0.0187282,-1
89,0.0233906,2
90,0.918862,1
91,0.638871,1
91,0.28913,2
91,0.0127916,2
92,0.250799,1
92,0.0307744,2
92,0.0582289,2
92,0.0265117,2
92,0.0189759,2
92,0.0370056,2
92,0.0167873,-1
92,0.0167873,2
92,0.0145363,2
92,0.0145363,2
93,0.573396,1
93,0.01068,2
93,0.0555271,2
93,0.0147258,2
93,0.0397067,2
93,0.023752,2
93,0.023752,2
94,0.910815,1
95,0.936691,1
95,0.0194355,2
96,0.604228,1
96,0.105496,1
96,0.0118941,2
96,0.0118941,2
97,0.681483,1
97,0.0540249,2
97,0.0115329,2
97,0.0101721,2
97,0.0134272,1
97,0.0134272,2
98,0.293366,2
98,0.0267116,2
98,0.0215021,2
98,0.0371299,2
98,0.0172945,2
98,0.0172945,2
98,0.0174931,1
98,0.0174931,2
98,0.025934,2
98,0.025934,2
98,0.016802,2
98,0.016802,2
99,0.506016,1
99,0.030285,2
99,0.0127027,2
99,0.0436362,2
99,0.18108,2
99,0.0119007,2
99,0.0119007,2
100,0.770926,1
100,0.0144814,2
100,0.0758615,2
100,0.0550105,2
101,0.879597,1
101,0.0639808,2
102,0.202606,-1
102,0.0122882,2
102,0.0245189,1
102,0.0245189,2
102,0.0360132,2
102,0.215959,2
102,0.0277727,2
102,0.0157401,1
102,0.0223936,2
102,0.0223936,2
103,0.823013,1
103,0.0188435,2
103,0.0369782,2
103,0.0369782,2
104,0.450465,1
104,0.0123795,2
104,0.0123795,2
104,0.0211184,2
104,0.0950537,2
104,0.0103899,2
104,0.0648672,2
104,0.014648,2
105,0.823065,1
105,0.0690786,2
105,0.0112804,2
105,0.0112804,2
106,0.853249,1
107,0.126239,1
107,0.412725,2
107,0.0425569,2
107,0.036302,2
107,0.0139364,1
107,0.0139364,2
108,0.290257,1
108,0.0263457,2
108,0.0145506,2
108,0.0229092,2
108,0.0567885,2
108,0.186391,2
108,0.0139439,2
108,0.0139439,2
108,0.0112,2
108,0.0112,2
109,0.681273,1
109,0.0119289,2
109,0.0119289,2
110,0.716034,1
111,0.232503,1
111,0.376742,2
112,0.705414,1
112,0.010425,2
112,0.010425,2
112,0.0137897,2
112,0.0137897,2
113,0.437571,1
113,0.0396398,2
113,0.154319,2
113,0.0247092,2
113,0.0144545,2
113,0.0305734,2
113,0.0305734,2
113,0.0270113,2
113,0.0365335,2
113,0.011018,2
113,0.0943277,2
113,0.0104932,2
113,0.0104932,2
114,0.913305,1
115,0.174415,2
115,0.0175693,2
115,0.0110273,2
115,0.0105237,2
115,0.0828982,2
115,0.0930455,2
115,0.0105562,2
115,0.0105562,2
115,0.0200705,2
115,0.0159675,2
116,0.653331,1
116,0.131203,-1
117,0.724991,1
118,0.591983,1
118,0.0588939,2
118,0.0427948,2
118,0.0105508,2
118,0.0388698,2
118,0.0145773,2
118,0.0214402,2
118,0.0214402,2
119,0.0238587,1
119,0.0238587,2
119,0.0154914,2
119,0.119866,2
119,0.0169992,2
119,0.165498,2
119,0.0333705,-1
120,0.444118,1
120,0.0229998,2
120,0.0133061,2
120,0.0240074,2
120,0.0114663,2
120,0.0236974,2
120,0.0236974,2
121,0.134964,1
121,0.536633,2
121,0.042042,2
121,0.0279326,2
122,0.23496,1
122,0.370955,2
122,0.0512449,2
123,0.823993,1
124,0.887812,1
124,0.0859295,2
125,0.930587,1
126,0.819772,1
126,0.0414917,2
126,0.0105161,2
127,0.067759,2
127,0.448654,1
127,0.165834,2
127,0.0984588,2
128,0.906768,1
129,0.094672,1
129,0.0508538,2
129,0.0807386,2
129,0.0400215,2
129,0.0256925,2
129,0.0213721,2
129,0.0152674,2
129,0.0152674,2
129,0.0172154,2
129,0.0172154,2
130,0.553715,1
130,0.0860712,2
130,0.0382641,2
130,0.0127632,2
130,0.0665485,2
130,0.0202927,-1
130,0.0202927,2
131,0.845452,1
132,0.613882,1
132,0.052645,-1
132,0.0114527,2
132,0.0114527,2
132,0.02548,2
132,0.0163947,2
132,0.0100633,2
132,0.0100633,2
133,0.224931,1
133,0.0167289,2
133,0.0121058,2
133,0.0166219,1
133,0.0166219,2
133,0.0217561,2
133,0.0217561,2
133,0.0191809,2
133,0.0133785,2
134,0.367531,1
134,0.276639,2
134,0.0335817,2
134,0.0364648,2
134,0.0136717,-1
134,0.0136717,2
134,0.0134113,2
134,0.0134113,2
134,0.0135933,2
134,0.0135933,2
135,0.801119,1
135,0.0129377,2
135,0.0129377,2
136,0.951317,1
137,0.761536,2
137,0.0214273,2
137,0.0214273,2
137,0.0115245,1
137,0.0101588,2
138,0.544291,1
138,0.351003,2
139,0.694637,1
139,0.150763,2
140,0.0785475,1
140,0.320753,2
140,0.0290182,2
140,0.0124537,2
140,0.172459,2
141,0.940357,1
142,0.377887,1
142,0.0575645,2
142,0.0113381,2
142,0.319809,2
142,0.0269661,2
142,0.0269661,2
143,0.871245,1
143,0.0247712,2
144,0.895728,1
145,0.576737,1
145,0.0103424,1
145,0.0367481,2
146,0.013608,1
146,0.013608,2
146,0.57776,2
146,0.166664,2
146,0.065259,2
146,0.0518596,2
147,0.906301,1
148,0.951992,1
149,0.926132,1
150,0.936662,1
150,0.0293374,2
151,0.926394,1
152,0.178096,2
152,0.338277,1
152,0.0237151,2
152,0.0186055,-1
152,0.0186055,2
152,0.0232163,2
152,0.0226476,2
152,0.0222534,2
153,0.27346,1
153,0.208578,2
153,0.0157966,2
153,0.0314508,2
153,0.0198705,2
153,0.0329891,2
153,0.0144143,2
153,0.0144143,2
154,0.500109,2
154,0.0186176,1
154,0.0186176,2
154,0.0570391,2
154,0.0125456,2
154,0.0193272,1
154,0.0193272,2
154,0.0156497,2
154,0.0156497,2
154,0.0134088,2
154,0.0134088,2
154,0.0163752,2
154,0.0163752,2
155,0.190135,1
155,0.184813,2
155,0.0167936,2
155,0.0217454,1
155,0.0423113,2
156,0.573135,1
156,0.0116385,1
156,0.0116385,2
156,0.0149473,-1
157,0.0112172,2
157,0.0750899,1
157,0.0116043,2
157,0.0144668,2
157,0.0144668,2
157,0.10096,-1
158,0.726376,1
158,0.0126715,2
158,0.0126715,2
158,0.0296035,2
158,0.0296035,2
158,0.0112793,1
159,0.414472,1
159,0.0529727,2
159,0.231924,2
159,0.0115462,2
160,0.773218,1
160,0.0377795,2
160,0.0493572,2
160,0.0493572,2
161,0.108713,1
161,0.0418432,1
161,0.0964458,2
161,0.0214139,2
161,0.0112137,2
161,0.0112137,2
161,0.0209567,2
161,0.0209567,2
161,0.0170077,2
161,0.0170077,2
162,0.599726,1
162,0.0326046,2
162,0.0110392,2
162,0.0110392,2
163,0.710019,1
163,0.0224034,2
163,0.0224034,2
164,0.0440502,-1
164,0.439906,1
164,0.0422857,2
164,0.119721,2
164,0.0193197,2
164,0.0113638,1
165,0.635599,1
165,0.0397833,-1
165,0.0185116,2
166,0.52582,1
166,0.0216189,2
166,0.0159822,2
166,0.0159822,2
166,0.0216444,2
166,0.0216444,2
166,0.0106089,2
166,0.0106089,2
166,0.0294534,2
166,0.0237329,2
167,0.85184,1
167,0.0124762,1
167,0.0124762,2
168,0.369592,1
168,0.222264,2
168,0.0138801,2
168,0.0138801,2
168,0.0138394,2
169,0.803871,1
169,0.0150461,2
169,0.0150461,2
169,0.0168163,1
169,0.0168163,2
170,0.507954,1
170,0.0429821,2
170,0.0244907,2
170,0.0296105,2
170,0.0296105,2
170,0.0135188,2
171,0.383054,1
171,0.0296543,2
171,0.233744,2
172,0.639162,1
172,0.046985,2
172,0.0269549,2
172,0.0152166,2
172,0.0272182,2
172,0.0271958,2
172,0.0271958,2
173,0.976782,1
174,0.732774,1
174,0.0115385,2
174,0.0648082,2
174,0.0116203,2
175,0.097981,1
175,0.286711,-1
175,0.045748,2
175,0.0392232,2
175,0.0105289,2
175,0.0105289,2
176,0.787927,1
177,0.873781,2
177,0.0312523,1
177,0.0312523,2
178,0.113448,1
178,0.023204,2
178,0.143553,2
178,0.0179204,2
178,0.0104051,2
178,0.0104051,2
178,0.0236067,1
179,0.949039,1
180,0.630244,1
180,0.0146981,1
181,0.862243,1
181,0.0251518,1
182,0.45843,2
182,0.0458067,1
182,0.145758,2
182,0.0137373,2
182,0.0114947,2
182,0.0114947,2
183,0.481045,2
183,0.0209131,1
184,0.683437,1
184,0.0320553,2
184,0.124032,2
184,0.0185238,2
184,0.0185238,2
185,0.401392,1
185,0.0580821,2
185,0.375374,2
185,0.0464916,2
185,0.0150457,2
185,0.0150457,2
186,0.143786,1
186,0.292154,2
186,0.0874555,1
186,0.128818,2
187,0.434019,1
187,0.245232,2
187,0.0197279,2
187,0.0197279,2
187,0.153161,-1
188,0.745895,1
188,0.0123327,2
188,0.0123327,2
188,0.0117019,2
188,0.0117019,2
188,0.0131687,2
188,0.0131687,2
188,0.0236521,1
189,0.955675,1
190,0.827777,1
191,0.848418,1
192,0.982133,1
193,0.950589,1
194,0.472897,1
194,0.0213697,2
194,0.212588,2
194,0.0234689,2
194,0.0234689,2
194,0.0147448,2
194,0.0147448,2
194,0.0227738,2
195,0.100543,1
195,0.104402,-1
195,0.0542029,1
195,0.0156793,2
195,0.0115702,2
195,0.0185426,2
195,0.0117836,2
195,0.0720266,2
195,0.0194591,2
195,0.0155091,2
195,0.0168269,2
196,0.886601,1
196,0.026136,2
196,0.0193158,1
196,0.0193158,2
197,0.642675,1
197,0.0347803,-1
197,0.0124653,2
197,0.0574162,2
198,0.787855,1
198,0.0148954,2
199,0.814622,1
200,0.907999,1
201,0.63829,1
201,0.0197253,2
201,0.141318,2
201,0.0140143,2
201,0.0140143,2
202,0.21976,1
202,0.641519,2
202,0.0164779,-1
202,0.0164779,2
203,0.923371,1
204,0.703872,1
204,0.014692,1
204,0.014692,2
204,0.0141126,-1
204,0.0141126,2
205,0.514424,2
205,0.159198,2
205,0.0100711,2
205,0.0100711,2
206,0.911049,1
207,0.100967,1
207,0.0203695,2
207,0.0371219,2
207,0.090397,2
207,0.0787867,2
207,0.0219068,2
207,0.0400258,2
207,0.016856,2
208,0.895227,1
209,0.370152,2
209,0.0476785,1
209,0.0355823,1
209,0.0138975,2
210,0.483819,1
210,0.115881,2
210,0.0209147,2
210,0.0209147,2
211,0.487213,1
211,0.181441,2
211,0.0766284,2
212,0.538809,1
212,0.0302378,2
212,0.0146755,2
212,0.0186935,2
213,0.372083,1
213,0.0112495,2
213,0.015108,2
213,0.045958,2
213,0.0450159,2
213,0.0187475,2
213,0.0187475,2
214,0.279017,1
214,0.164524,2
214,0.107583,2
214,0.0933425,2
215,0.601994,1
215,0.0337841,2
215,0.0161813,2
215,0.0176028,2
215,0.0150574,2
215,0.0150574,2
215,0.0157146,-1
216,0.520148,1
216,0.147635,2
216,0.0500562,2
216,0.0183889,2
216,0.0194637,2
217,0.708339,1
217,0.208935,2
218,0.341172,1
218,0.0206514,2
218,0.0722852,1
218,0.0100074,2
218,0.0100074,2
218,0.0158193,1
218,0.0183537,2
218,0.0125387,2
218,0.0156296,2
218,0.0107233,2
218,0.0107233,2
218,0.0104473,2
218,0.0104473,2
219,0.743707,1
219,0.0788947,1
220,0.622359,1
220,0.0362475,2
220,0.0261296,2
220,0.0261296,2
220,0.0141169,2
220,0.0141169,2
220,0.0251567,2
220,0.0262462,2
220,0.0153067,2
220,0.0504988,2
220,0.0223647,2
220,0.0223647,2
221,0.936507,1
222,0.0400065,1
222,0.101143,2
222,0.407528,2
222,0.0175039,-1
222,0.0175039,2
222,0.0119521,1
222,0.0119521,2
223,0.524953,1
223,0.165727,-1
223,0.0182873,2
223,0.0182873,2
223,0.0194014,1
224,0.144308,1
224,0.0100944,2
224,0.0139559,-1
224,0.0242948,2
224,0.106275,2
224,0.0230408,2
224,0.0669596,2
224,0.0255907,2
224,0.0221467,2
224,0.0221467,2
225,0.0790925,1
225,0.275205,2
225,0.0222351,2
225,0.0189181,2
225,0.0937146,2
226,0.869383,1
227,0.150183,1
227,0.0119571,2
227,0.0417785,2
227,0.0197718,2
227,0.0162211,2
227,0.209474,2
227,0.0499776,2
227,0.0114759,2
227,0.223132,2
227,0.0172253,2
227,0.0172253,2
227,0.012731,-1
228,0.138136,1
228,0.0234658,2
228,0.502861,2
228,0.0369757,2
228,0.0210498,2
228,0.015926,2
228,0.0109803,2
228,0.0109803,2
229,0.162736,-1
229,0.0198919,2
229,0.0683977,1
229,0.0136948,1
229,0.0136948,2
229,0.027314,1
229,0.0113212,1
229,0.0113212,2
229,0.0200241,-1
229,0.0113984,2
229,0.0113984,2
229,0.0100312,2
230,0.0912036,1
230,0.0968584,-1
230,0.0920954,2
230,0.0125189,2
230,0.0125189,2
230,0.0102595,-1
231,0.552192,1
231,0.172465,2
231,0.0370821,2
231,0.0188862,2
232,0.799464,1
232,0.0843069,2
233,0.369163,1
233,0.0175274,2
233,0.0305793,2
233,0.031849,2
233,0.287338,2
233,0.0228509,2
233,0.0228509,2
233,0.0229553,1
234,0.861667,1
235,0.273454,1
235,0.0203281,2
235,0.0212994,2
235,0.0866813,2
235,0.448444,2
236,0.10024,1
236,0.0748646,2
236,0.0598971,-1
236,0.0189679,2
236,0.0125124,2
236,0.0133256,2
236,0.0396095,2
236,0.0215853,2
236,0.0215853,2
236,0.0234144,2
236,0.0234144,2
236,0.0211269,2
236,0.0211269,2
237,0.79689,1
237,0.0220406,2
237,0.0179444,1
237,0.0179444,2
238,0.751044,1
238,0.059705,2
238,0.0327051,2
238,0.0112185,2
238,0.0112185,2
239,0.700628,2
239,0.0101424,1
239,0.0101424,2
239,0.025197,2
239,0.0102497,2
239,0.0133909,2
239,0.0133909,2
240,0.966676,1
241,0.474241,1
241,0.311037,2
241,0.0773186,2
241,0.0125623,-1
241,0.0125623,2
241,0.0192095,2
241,0.0192095,2
242,0.935898,1
243,0.31217,1
243,0.0222416,2
243,0.0722307,2
243,0.0391688,2
243,0.0101774,2
